"date","no2","ozone","pm25","so2"
"2021-06-13",34.1,0.055,10.1,3.8
"2021-06-14",17.1,0.061,11,3.1
"2021-06-15",27.5,0.032,19.2,3.5
"2021-06-16",11.8,0.044,48.1,2.7
"2021-06-17",37.6,0.068,20.3,3.1
"2021-06-18",29.3,0.071,22.3,3.3
"2021-06-19",49.4,0.07,21.7,3
"2021-06-20",18.5,0.056,14.8,6.6
"2021-06-21",8.2,0.043,1.8,3.2
"2021-06-22",26.1,0.048,11.9,2.7
"2021-06-23",13,0.053,10.9,3.1
"2021-06-24",17.1,0.042,15.8,3.1
"2021-06-25",27.3,0.035,17.5,2.5
"2021-06-26",12.9,0.037,6.5,2.5
"2021-06-27",9.2,0.045,4.5,2.6
"2021-06-28",26,0.032,16.1,3.8
"2021-06-29",22.5,0.043,14.1,2.6
"2021-06-30",36.7,0.047,15.9,2.8
"2021-07-01",11.3,0.042,7.8,2.4
"2021-07-02",17.5,0.027,9.7,2.5
"2021-07-03",18.1,0.05,20.5,2.9
"2021-07-04",10.1,0.056,182.3,7.3
"2021-07-05",8.5,0.049,37.4,3.8
"2021-07-06",24.7,0.058,16.4,3.4
"2021-07-07",27.7,0.056,20.3,3.3
"2021-07-08",11.5,0.022,7.8,2.9
"2021-07-09",17.6,0.031,3.3,2.8
"2021-07-10",14.1,0.036,8.3,3.9
"2021-07-11",6.5,0.036,7.8,2.6
"2021-07-12",9.8,0.038,11.7,4.3
"2021-07-13",24.6,0.045,15.2,2.8
"2021-07-14",22.9,0.049,8.5,2.7
"2021-07-15",11.6,0.047,5.6,2.8
"2021-07-16",9.9,0.046,11.2,2.6
"2021-07-17",6.8,0.045,9.5,2.9
"2021-07-18",9.6,0.049,8.6,4.2
"2021-07-19",32.4,0.051,15.8,3.7
"2021-07-20",30.5,0.071,32.4,3.5
"2021-07-21",10.4,0.038,24.4,2.6
"2021-07-22",30,0.073,29.8,9.1
"2021-07-23",19.1,0.068,37,6.8
"2021-07-24",16.4,0.053,34.1,0.8
"2021-07-25",27.5,0.06,15.4,1.8
"2021-07-26",27,0.063,33,3.3
"2021-07-27",32.4,0.075,15.5,1.4
"2021-07-28",34,0.063,16,1.3
"2021-07-29",12.4,0.059,13.6,0.6
"2021-07-30",7.2,0.034,7.6,0.4
"2021-07-31",19.4,0.053,13.7,1.1
"2021-08-01",8.6,0.044,32.3,0.4
"2021-08-02",26,0.043,14.7,1.7
"2021-08-03",32.8,0.071,12.2,2.5
"2021-08-04",56.6,0.058,30.2,2.3
"2021-08-05",53.3,0.062,34.8,1.3
"2021-08-06",21.9,0.063,17.4,1
"2021-08-07",36.5,0.065,21.8,0.8
"2021-08-08",16.7,0.047,21.5,0.9
